rowid,id,name,city,state,lon,lat
1,1,Southern Hills Medical Center,BERRY HILL,TN,-86.721939,36.077843
2,2,Sycamore Shoals Hospital,ELIZABETHTON,TN,-82.247635,36.346218
3,3,Tokona Hospital,GREENEVILLE,TN,-82.845711,36.151772
4,4,University of Tennessee Child Development Center,DOWNTOWN MEMPHIS,TN,-90.037033,35.142872
5,5,Volunteer General Hospital,MARTIN,TN,-88.868393,36.335064
6,6,West Side Hospital,BELLE MEADE,TN,-86.809723,36.153667
7,7,William L Bork Memorial Hospital,COLLEGEDALE,TN,-85.134125,35.056461
8,8,All Saints Hospital,FORT WORTH,TX,-97.343361,32.729851
9,9,Beaumont Army Hospital,CENTRAL EL PASO,NM,-106.453598,31.822046
10,10,Burns Hospital,CUERO,TX,-97.285271,29.099424
11,11,Club of Christ Hospital,JEFFERSON,TX,-94.34742,32.440712
12,12,Danforth Memorial Hospital,TEXAS CITY,TX,-94.901306,29.392733
13,13,Eldridge Memorial Hospital,FIRST COLONY,TX,-95.617439,29.628016
14,14,Good Shepherd Hospital,LONGVIEW,TX,-94.730774,32.50098
15,15,Hamilton Hospital,OLNEY,TX,-98.763405,33.369278
16,16,Holy Cross Hospital,AUSTIN,TX,-97.713066,30.281878
17,17,Keightley Hospital,FRESNO,TX,-95.43911,29.606903
18,18,Lockwood Hospital,HOUSTON,TX,-95.317993,29.806057
19,19,Medical Hospital,TYLER,TX,-95.290787,32.338207
20,20,Newton Memorial Hospital,CAMERON,TX,-96.980827,30.854908
21,21,Oak Hills Haven,BALCONES HEIGHTS,TX,-98.574471,29.501621
22,22,Parkview General Hospital,BAYSIDE,TX,-97.393044,27.728918
23,23,Porter Hospital,DOWNTOWN LUBBOCK,TX,-101.867386,33.577305
24,24,Robstown Riverside Hospital,NORTH SAN PEDRO,TX,-97.635277,27.855021
25,25,Saint Edwards Hospital,CAMERON,TX,-96.977203,30.858799
26,26,Saint Jude Hospital,BRENHAM,TX,-96.399414,30.179655
27,27,Santa Rosa Infirmary,ALAMO HEIGHTS,TX,-98.498627,29.426903
28,28,Southton Sanitorium,BULVERDE,TX,-98.421677,29.312176
29,29,State Tuberculosis Hospital,HARLINGEN,TX,-97.706375,26.159523
30,30,Texas Elks Hospital,PALMETO,TX,-97.582497,29.595232
31,31,Valley Baptist Hospital,HARLINGEN,TX,-97.67083,26.175074
32,32,Wilson Hospital,BAYSIDE,TX,-97.386658,27.749197
33,33,Ashley Valley Medical Center,MAESER,UT,-109.530975,40.458023
34,34,Charter Canyon Hospital,LINDON,UT,-111.664085,40.310513
35,35,Duchesne County Hospital,BALLARD,UT,-109.996262,40.304127
36,36,Holy Cross Hospital,SALT LAKE CITY,UT,-111.861053,40.768005
37,37,Logan Regional Hospital,HYDE PARK,UT,-111.822166,41.756042
38,38,Orem Community Hospital,LINDON,UT,-111.705482,40.305515
39,39,Saint Benedicts Hospital,CLEARFIELD,UT,-111.970215,41.163273
40,40,Shriners Hospital,SALT LAKE CITY,UT,-111.851334,40.777725
41,41,Utah Valley Regional Medical Center,OREM,UT,-111.665474,40.247173
42,42,Alexandria Hospital,ALEXANDRIA,MD,-77.106094,38.822334
43,43,Bayberry Hospital,BUCKROE BEACH,VA,-76.338554,37.022926
44,44,Brookwood Nursing Home,ARKENDALE,VA,-77.382759,38.394016
45,45,Central Virginia Training Center and Hospital,BOCOCK,VA,-79.141968,37.40292
46,46,Chippenham Hospital,BON AIR,VA,-77.526649,37.51376
47,47,Community Hospital,DOWNTOWN RICHMOND,VA,-77.450531,37.565144
48,48,David C Wilson Neuro-Psychiatric Hospital,CHARLOTTESVILLE,VA,-78.506126,38.049858
49,49,Fairfax Hospital,FAIRFAX,VA,-77.227486,38.857891
50,50,Fredericksburg Nursing Home,FREDERICKSBURG,VA,-77.525543,38.290691
51,51,General Hospital Number 9 (historical),DOWNTOWN RICHMOND,VA,-77.426369,37.535423
52,52,Greensville County Health Center,EMPORIA,VA,-77.541092,36.686817
53,53,Hiram W Davis Medical Center,ADDISON,VA,-77.454147,37.204868
54,54,Jefferson Hospital,ROANOKE,VA,-79.946983,37.261806
55,55,Keezel Infirmary,DALE ENTERPRISE,VA,-78.871422,38.439297
56,56,Letcher Memorial Hospital (historical),EDGERTON,VA,-77.84333,36.762089
57,57,Lynchburg General Hospital,BOCOCK,VA,-79.171692,37.41708
58,58,Martha Jefferson Hospital,CHARLOTTESVILLE,VA,-78.471672,38.032078
59,59,McGuire Veterans Hospital,BENSLEY,VA,-77.466377,37.49543
60,60,Memorial Hospital of Martinsville and Henry County,MARTINSVILLE CITY,VA,-79.867546,36.699306
61,61,Nelson Clinic,DOWNTOWN RICHMOND,VA,-77.430809,37.540974
62,62,Northampton-Accomack Memorial Hospital,BIRDSNEST,VA,-75.861046,37.476803
63,63,Piedmont State Hospital,BURKEVILLE,VA,-78.175278,37.192371
64,64,Prince William Hospital,BULL RUN,VA,-77.486649,38.767334
65,65,Randolph Hospital,BIRCHETT ESTATE,VA,-77.291092,37.30793
66,66,Richmond Eye and Ear Hospital,DOWNTOWN RICHMOND,VA,-77.431923,37.540974
67,67,Roanoke Memorial Hospital Rehabilitation Center,ROANOKE,VA,-79.945038,37.249577
68,68,Russell County Medical Center,LEBANON,VA,-82.078743,36.89872
69,69,Salvation Army Hospital,DOWNTOWN RICHMOND,VA,-77.417206,37.564865
70,70,Sheltering Arms Physical Rehabilitation Hospital,DOWNTOWN RICHMOND,VA,-77.456093,37.579586
71,71,Southampton Memorial Hospital,FRANKLIN,VA,-76.937737,36.691818
72,72,Southwestern State Hospital,MARION,VA,-81.51123,36.832893
73,73,The Retreat Hospital,DOWNTOWN RICHMOND,VA,-77.473038,37.554314
74,74,United States Public Health Service Hospital,DOWNTOWN NORFOLK,VA,-76.302727,36.901539
75,75,Vinton Family Medical Center,ROANOKE,VA,-79.869476,37.279026
76,76,Walter Reed Convalescent Center,ARK,VA,-76.543282,37.42181
77,77,Westminster Hospital,DOWNTOWN RICHMOND,VA,-77.458595,37.597923
78,78,Winslow Hospital,GATEWOOD,NC,-79.399467,36.569027
79,79,Woodrow Wilson Rehabilitation Center,STAUNTON,VA,-78.991692,38.117912
80,80,Kerbs Hospital,NORTH FAIRFAX,VT,-73.0718,44.807545
81,81,Caldwell Health Center,DES MOINES,WA,-122.32235,47.390102
